NHashID,LA-HHHSSQ856609ZSZSBY759216
number_of_reads,1214610024.0
sequencing_saturation,0.6034118103803632
fraction_of_unique_reads_mapped_to_genome,0.796891
fraction_of_unique_and_multiple_reads_mapped_to_genome,0.8872600000000002
fraction_of_reads_with_Q30_bases_in_rna,0.957792
fraction_of_reads_with_Q30_bases_in_cb_and_umi,0.970925
fraction_of_reads_with_valid_barcodes,0.905725
reads_mapped_antisense_to_gene,94013080.0
reads_mapped_confidently_exonic,128239323.0
reads_mapped_confidently_to_genome,888310238.0
reads_mapped_confidently_to_intronic_regions,682931216.0
reads_mapped_confidently_to_transcriptome,754139742.0
estimated_cells,8595.0
umis_in_cells,239066147.0
mean_umi_per_cell,27814.56044211751
median_umi_per_cell,12934.0
unique_reads_in_cells_mapped_to_gene,642648921.0
fraction_of_unique_reads_in_cells,0.8521621815048922
mean_reads_per_cell,74770.08970331588
median_reads_per_cell,32875.0
mean_gene_per_cell,4648.33868528214
median_gene_per_cell,4176.0
total_genes_unique_detected,35616.0
percent_target,85.95
percent_intronic_reads,56.226377397326665
frac_tso,0.7287109599718232
percent_doublets,9.738219895287958
keeper_cells,7640
keeper_mean_reads_per_cell,131073.54882198953
keeper_median_genes,4345.5
percent_keeper,88.88888888888889
percent_usable,76.4
