GeneID,n_reads,tso_reads,noise_reads,perfect_molecule_barcodes,reads_mapped_exonic,reads_mapped_exonic_as,reads_mapped_intronic,reads_mapped_intronic_as,reads_mapped_uniquely,reads_mapped_multiple,duplicate_reads,spliced_reads,antisense_reads,molecule_barcode_fraction_bases_above_30_mean,molecule_barcode_fraction_bases_above_30_variance,genomic_reads_fraction_bases_quality_above_30_mean,genomic_reads_fraction_bases_quality_above_30_variance,genomic_read_quality_mean,genomic_read_quality_variance,n_molecules,n_fragments,reads_per_molecule,reads_per_fragment,fragments_per_molecule,fragments_with_single_read_evidence,molecules_with_single_read_evidence,reads_mapped_mitochondrial,number_cells_detected_multiple,number_cells_expressing
AAR2,2646,529,0,2441,612,0,1996,0,2608,38,0,24,0,0.9811665647,0.004733380862,0.9868019106,0.00289984094,39.74105835,1.3749789,385,1764,6.872727394,1.5,4.581818104,1241,101,0,238,317
AARD,53,2,0,51,7,0,46,0,53,0,0,0,0,0.9937107158,0.0004938681959,0.991194977,0.0004053129815,39.82787704,0.1820765734,8,36,6.625,1.472222209,4.5,22,4,0,4,8
AARS,6840,851,0,5821,3015,0,3119,0,6134,706,0,805,0,0.9805555765,0.004392290954,0.9820500695,0.004377774429,39.64648056,2.063709974,872,4663,7.844036579,1.466866851,5.347476959,3291,218,0,570,736
AARS2,3084,414,0,2721,2342,0,736,0,3078,6,0,105,0,0.9768969175,0.004896837287,0.9849150069,0.003667283803,39.70898056,1.699238777,411,2170,7.503649712,1.42119813,5.279805183,1601,86,0,291,360
AASDH,11454,1225,0,10552,5590,0,5811,0,11401,53,0,1642,0,0.9817822226,0.003893077839,0.9869720719,0.002875704551,39.74837112,1.292109609,1138,7627,10.06502628,1.50177002,6.70210886,5347,205,0,725,852
AASDHPPT,16116,1516,0,15156,6538,0,9507,0,16045,71,0,1022,0,0.9826311519,0.003860659199,0.9873300814,0.002846422605,39.75442505,1.278797388,1215,10496,13.26419735,1.535442114,8.638683319,7108,179,0,840,953
AASS,2756,394,0,2451,751,0,1930,0,2681,75,0,53,0,0.9763546433,0.005439884961,0.9838211907,0.003754148725,39.68527985,1.671858311,288,1922,9.569444656,1.433923006,6.673611164,1365,57,0,186,225
AATF,14705,2657,0,12930,1414,0,13079,0,14493,212,0,651,0,0.980409178,0.004802307114,0.9832846289,0.004256756976,39.66644669,2.006284714,1568,9756,9.378189087,1.507277608,6.22193861,6678,361,0,822,1031
AATK,9515,1418,0,8510,6969,0,2503,0,9472,43,0,457,0,0.9825188467,0.004376072437,0.983413357,0.004841575399,39.6785965,2.223992109,902,6429,10.54878044,1.480012417,7.127494335,4494,171,0,634,763
ABAT,11918,2041,0,10466,4807,0,6718,0,11525,393,0,709,0,0.9788205726,0.005230137147,0.9842460861,0.00364454044,39.6921463,1.703197122,1733,8027,6.877091885,1.484739065,4.63185215,5711,478,0,957,1253
ABCA1,7211,1269,0,6395,1979,0,5134,0,7113,98,0,241,0,0.9832432127,0.003918583039,0.9833218105,0.004085593391,39.67141342,1.902629375,810,4605,8.902468681,1.565906644,5.685184956,3177,181,0,485,612
ABCA10,26046,3778,0,23988,4921,0,20955,0,25876,170,0,691,0,0.9814751029,0.004397538956,0.9865686643,0.003233649302,39.73816299,1.477240443,2531,17424,10.29079437,1.494834661,6.884235382,11949,423,0,1302,1498
ABCA12,1790,365,0,1577,236,0,1346,0,1582,208,0,78,0,0.9743482569,0.006790687796,0.9808690513,0.006322412752,39.61069107,3.145644903,285,1222,6.280701637,1.464811802,4.28771925,857,77,0,173,235
ABCA13,679,140,0,476,17,0,186,0,203,476,0,13,0,0.9695631053,0.01234656293,0.9610211462,0.01427395642,39.18997955,6.897929668,295,485,2.30169487,1.399999976,1.644067764,366,179,0,119,277
ABCA15,1288,308,0,983,222,0,855,0,1077,211,0,83,0,0.9828545766,0.003358785063,0.9804779472,0.004850492813,39.60138702,2.37000823,238,792,5.411764622,1.626262665,3.327731133,537,97,0,110,195
ABCA2,7029,599,0,5655,6224,0,789,0,7013,16,0,1183,0,0.9796320219,0.004699546844,0.9819399349,0.004177763592,39.65456009,1.891565084,823,4967,8.540704727,1.415139914,6.035236835,3621,183,0,565,717
ABCA3,17370,1919,0,16010,2772,0,14244,0,17016,354,0,798,0,0.9800134552,0.004588645417,0.9824167149,0.004140598699,39.65039444,1.977286816,2137,12299,8.128216743,1.412309885,5.755264282,8822,504,0,1119,1414
ABCA4,428,67,0,392,17,0,387,0,404,24,0,1,0,0.9857866185,0.003391701728,0.9769989907,0.00840254873,39.5177803,4.278718948,78,293,5.487179279,1.460750818,3.75641036,212,42,0,33,72
ABCA5,58673,6215,0,55309,27229,0,31222,0,58451,222,0,14438,0,0.98175057,0.004259927198,0.979942534,0.004722150974,39.60007858,2.1819911,4681,39138,12.53428745,1.499131322,8.361034393,26610,694,0,2370,2682
