GeneID,n_reads,tso_reads,noise_reads,perfect_molecule_barcodes,reads_mapped_exonic,reads_mapped_exonic_as,reads_mapped_intronic,reads_mapped_intronic_as,reads_mapped_uniquely,reads_mapped_multiple,duplicate_reads,spliced_reads,antisense_reads,molecule_barcode_fraction_bases_above_30_mean,molecule_barcode_fraction_bases_above_30_variance,genomic_reads_fraction_bases_quality_above_30_mean,genomic_reads_fraction_bases_quality_above_30_variance,genomic_read_quality_mean,genomic_read_quality_variance,n_molecules,n_fragments,reads_per_molecule,reads_per_fragment,fragments_per_molecule,fragments_with_single_read_evidence,molecules_with_single_read_evidence,reads_mapped_mitochondrial,number_cells_detected_multiple,number_cells_expressing
CAMK2D,48732,6890,0,45173,6502,0,41767,0,48269,463,0,1687,0,0.981056275,0.004475772846,0.9852734532,0.003489251714,39.71219635,1.615855217,4888,32809,9.969721794,1.485324144,6.712152004,22715,939,0,2163,2580
CAMK2G,25343,4343,0,23372,9304,0,15781,0,25085,258,0,2150,0,0.9785739902,0.004845559131,0.9840635704,0.003684871132,39.6895752,1.719069719,4119,17405,6.1527071,1.456075788,4.225540161,12484,956,0,2037,2518
CAMK2N1,16515,399,0,15780,16073,0,437,0,16510,5,0,2683,0,0.9774851409,0.004849613179,0.9837891886,0.003702709218,39.69234467,1.667064786,1834,12383,9.004907608,1.333683252,6.751908302,9319,211,0,1420,1587
CAMK2N2,299,0,0,65,32,0,267,0,299,0,0,19,0,0.9662765228,0.004894515965,0.971869246,0.006165565923,39.42284775,2.860518217,9,160,33.22222137,1.868749976,17.77777863,83,1,0,8,9
CAMK4,110621,15123,0,102458,18891,0,91250,0,110141,480,0,1375,0,0.9806275702,0.004517704714,0.9855724907,0.003389330581,39.7203331,1.539063692,10865,72177,10.18140793,1.532635093,6.643074036,49572,1751,0,3612,4135
CAMKK1,15229,1261,0,13180,10547,0,4433,0,14980,249,0,1463,0,0.9774115404,0.005420867819,0.98426252,0.003646894591,39.69684982,1.684352994,1794,10921,8.488851547,1.39446938,6.087513924,7973,382,0,1109,1339
CAMKK2,19478,2450,0,17164,12264,0,7042,0,19306,172,0,835,0,0.9785484717,0.004937197082,0.9832632053,0.004223827738,39.67128754,1.988512754,2048,13377,9.510742188,1.45608139,6.531738281,9345,416,0,1214,1437
CAMKMT,16835,2627,0,15254,604,0,15864,0,16468,367,0,292,0,0.9808583508,0.004690716043,0.9848279361,0.003749834141,39.70409012,1.751046062,1861,11302,9.046211243,1.489559412,6.073079109,7743,453,0,856,1101
CAMKV,3137,330,0,2879,2570,0,561,0,3131,6,0,269,0,0.9782966961,0.004757076502,0.984631493,0.004975490738,39.6959343,2.390839338,472,2354,6.646186352,1.33262527,4.987287998,1783,107,0,341,437
CAMLG,11075,1563,0,10487,3651,0,4642,0,8293,2782,0,1592,0,0.9804138694,0.004165915772,0.9860175876,0.003103124443,39.72986221,1.423964143,1075,7071,10.30232525,1.566256523,6.577674389,4804,201,0,713,836
CAMSAP1,12418,1549,0,10386,4878,0,7291,0,12169,249,0,590,0,0.9801766482,0.004418951459,0.976156513,0.00898147095,39.49985886,4.907730103,1366,8356,9.090776443,1.486117721,6.11713028,5916,340,0,828,1069
CAMSAP2,56883,8344,0,51975,13093,0,43450,0,56543,340,0,1659,0,0.9811953408,0.004466295242,0.9857258989,0.003274678718,39.72229385,1.492321014,5371,36650,10.590765,1.552060008,6.823682785,25224,941,0,2547,2951
CAMSAP3,1368,174,0,1150,478,0,870,0,1348,20,0,101,0,0.9765472956,0.005337356124,0.9792235686,0.00471003633,39.59119034,2.142420769,214,998,6.392523289,1.370741487,4.663551331,761,49,0,149,189
CAMTA1,127915,19175,0,113542,15271,0,111065,0,126336,1579,0,2788,0,0.9807763188,0.004305785988,0.9839212134,0.003783352906,39.68667603,1.741446137,13881,87537,9.215114594,1.461267829,6.306245804,61279,2739,0,4758,5656
CAMTA2,5220,1002,0,4469,2424,0,2724,0,5148,72,0,281,0,0.97662838,0.005039551761,0.9766709791,0.004324895795,39.55134583,1.930871606,854,3772,6.112411976,1.383881211,4.416862011,2821,226,0,529,695
CAND1,25119,3265,0,23084,7925,0,17106,0,25031,88,0,1357,0,0.9805426394,0.004302907269,0.9862897362,0.0032905892,39.73546219,1.496319056,2217,16207,11.33017635,1.549885869,7.310329437,10975,335,0,1361,1553
CAND2,3869,587,0,3350,1031,0,2802,0,3833,36,0,146,0,0.9785689916,0.004174408969,0.9846357447,0.003521267092,39.70172882,1.62961781,538,2682,7.191449642,1.442580223,4.98513031,1909,117,0,378,468
CANT1,496,56,0,445,251,0,233,0,484,12,0,24,0,0.9731182999,0.00769342063,0.9759408966,0.009131921455,39.50783539,4.598871231,73,379,6.794520378,1.308707118,5.191781044,297,22,0,51,73
CANX,13605,1472,0,12199,11106,0,2415,0,13521,84,0,2813,0,0.9821083143,0.004175577313,0.9835828667,0.004049357492,39.67874146,1.901035428,1315,9042,10.34600735,1.50464499,6.876045704,6310,219,0,983,1140
CAP1,6116,744,0,5341,3244,0,2804,0,6048,68,0,459,0,0.979670829,0.004915081896,0.9853789974,0.003533179872,39.71511459,1.626350284,627,4187,9.754385948,1.460711718,6.677831173,2929,134,0,443,539
CAP2,35659,5018,0,32559,6229,0,28925,0,35154,505,0,1353,0,0.9810847403,0.004350898787,0.9820201567,0.004264527932,39.63637161,2.081542253,4042,24626,8.822117805,1.448022366,6.092528343,17401,1047,0,1884,2519
CAPG,98,35,0,82,25,0,49,0,74,24,0,15,0,0.9855442631,0.001149122254,0.9894558228,0.0006627780385,39.79262543,0.2917430997,41,62,2.390244007,1.580645204,1.51219511,41,27,0,13,39
CAPN1,3048,359,0,2673,1475,0,1497,0,2972,76,0,236,0,0.9816819993,0.003707476659,0.9828521893,0.00388191035,39.66584015,1.791773438,349,2111,8.733524323,1.443865418,6.048710823,1512,92,0,237,316
CAPN10,1546,265,0,1395,900,0,614,0,1514,32,0,22,0,0.9775226632,0.00425441796,0.9888242405,0.001670936588,39.79510117,0.6441648006,190,1049,8.136841774,1.473784566,5.521052837,742,28,0,150,172
CAPN11,406,43,0,369,239,0,147,0,386,20,0,10,0,0.9825533834,0.003930117004,0.9867542801,0.003468072973,39.74725723,1.636460781,64,302,6.34375,1.344370842,4.71875,225,19,0,42,61
CAPN12,4412,530,0,3913,3036,0,1233,0,4269,143,0,135,0,0.9770512485,0.005334525835,0.9747809371,0.00589595316,39.50043488,2.747490883,677,3237,6.516986847,1.362990379,4.781388283,2414,218,0,386,529
CAPN13,315,46,0,258,4,0,165,0,169,146,0,1,0,0.9761905035,0.007702702191,0.9776719867,0.007474630605,39.54197311,3.537788868,103,220,3.058252335,1.431818128,2.135922432,155,58,0,46,99
CAPN14,13837,1783,0,11770,4754,0,8890,0,13644,193,0,387,0,0.9793308016,0.004626997281,0.9851670152,0.003035045462,39.71096039,1.359449029,1550,9312,8.927096367,1.485932112,6.007741928,6537,295,0,853,1016
CAPN15,1776,164,0,1499,873,0,829,0,1702,74,0,89,0,0.9804335807,0.004980785307,0.9787162558,0.006344867405,39.57944489,3.08538413,164,1224,10.82926846,1.450980425,7.463414669,859,50,0,111,153
CAPN2,4071,531,0,3732,1014,0,3030,0,4044,27,0,218,0,0.9775444417,0.005438496359,0.9847403376,0.003661129158,39.7039299,1.649624705,528,2814,7.710227489,1.446695089,5.329545498,2023,94,0,372,440
CAPN3,1807,349,0,1547,242,0,1451,0,1693,114,0,40,0,0.9779561218,0.005258534569,0.9837607171,0.004071549512,39.68684387,1.924426794,260,1153,6.949999809,1.567215919,4.434615612,783,78,0,165,223
CAPN5,1673,221,0,1455,697,0,926,0,1623,50,0,52,0,0.9793285711,0.004535718355,0.9861260905,0.003121903865,39.7335968,1.429570675,238,1133,7.029411793,1.47661078,4.760504246,809,56,0,168,214
CAPN6,66,19,0,64,1,0,64,0,65,1,0,0,0,0.9810606065,0.008075950667,0.976262634,0.008561773226,39.55454254,3.015210867,13,45,5.076922894,1.466666698,3.461538553,32,5,0,8,13
CAPN7,25902,3193,0,24418,10797,0,15036,0,25833,69,0,2346,0,0.9770803011,0.005056816619,0.982747829,0.004259321839,39.66456223,1.983479977,2840,18281,9.120422363,1.416880965,6.436971664,13231,398,0,1631,1827
CAPN8,67,16,0,46,8,0,36,0,44,23,0,8,0,0.9888059701,0.001451080316,0.9822554308,0.004171565175,39.63283157,2.01124692,26,50,2.576923132,1.340000033,1.923076868,36,14,0,12,26
CAPN9,181,55,0,175,7,0,156,0,163,18,0,9,0,0.9779005788,0.003366925055,0.9731123527,0.01009197161,39.44100571,4.942597389,40,132,4.525000095,1.371212125,3.299999952,103,15,0,21,35
CAPNS1,2380,336,0,2153,1230,0,1078,0,2308,72,0,251,0,0.9783263587,0.004092543386,0.9820728679,0.00382110849,39.65415955,1.71237874,426,1691,5.586854458,1.407451153,3.969483614,1244,125,0,277,388
CAPNS2,11,1,0,11,11,0,0,0,11,0,0,0,0,0.9166666635,0.07638889551,0.9838383631,0.001317623537,39.68080902,0.504345119,2,7,5.5,1.571428537,3.5,5,1,0,1,2
CAPRIN1,13155,1736,0,12096,5607,0,7213,0,12820,335,0,899,0,0.9814392733,0.004195702728,0.9846877296,0.003933547996,39.70259857,1.832162023,1285,8891,10.23735428,1.479586124,6.919065952,6165,224,0,878,1031
CAPRIN2,19729,2095,0,17853,8117,0,11445,0,19562,167,0,1571,0,0.980434914,0.004298208747,0.9860234261,0.003451419761,39.72947693,1.607604861,1806,13415,10.92414188,1.470667124,7.428017616,9306,284,0,1126,1282
CAPS,619,61,0,590,264,0,331,0,595,24,0,4,0,0.9796715446,0.004204472527,0.9837910923,0.003421571804,39.67958832,1.621874452,102,449,6.068627357,1.378619194,4.40196085,336,18,0,78,95
CAPS2,39340,4420,0,36239,7978,0,30994,0,38972,368,0,1815,0,0.9816323704,0.004355975427,0.98446453,0.003624836449,39.69583893,1.691937923,3178,26148,12.37885475,1.504512787,8.227816582,17707,494,0,1587,1794
CAPSL,93,36,0,76,12,0,38,0,50,43,0,3,0,0.9731182898,0.006968791131,0.97168463,0.007526887115,39.45471573,3.319103956,31,62,3,1.5,2,45,14,0,14,26
CAPZA1,22623,3102,0,21288,5609,0,16868,0,22477,146,0,675,0,0.9801713782,0.004820204806,0.9824755895,0.004333577584,39.65364838,2.038358212,2230,15229,10.1448431,1.485521078,6.829147816,10473,408,0,1341,1570
CAPZA2,22686,2836,0,20951,5999,0,16555,0,22554,132,0,1569,0,0.9816406794,0.004393160809,0.9824723369,0.004022494424,39.65585709,1.88017261,2165,14810,10.4785223,1.531802893,6.840646744,10225,337,0,1366,1566
CAPZB,15449,2340,0,13237,3059,0,12148,0,15207,242,0,442,0,0.9793136786,0.004634279292,0.9818219457,0.004375974648,39.64400482,2.012382269,1704,10252,9.066314697,1.506925464,6.016431808,7226,333,0,1009,1209
CARD10,181,9,0,152,59,0,39,0,98,83,0,11,0,0.976519353,0.005579852499,0.9849601297,0.004920010455,39.70735931,2.486852884,75,143,2.413333416,1.265734315,1.906666636,110,49,0,26,68
CARD11,491,149,0,328,42,0,206,0,248,243,0,31,0,0.972505113,0.006356999278,0.9749491305,0.006077391095,39.48433685,2.977950335,224,343,2.191964388,1.431486845,1.53125,241,137,0,80,201
CARD14,526,152,0,462,8,0,460,0,468,58,0,7,0,0.9798796187,0.004634078126,0.9804605255,0.005902491976,39.60652161,2.745741606,87,311,6.045977116,1.691318274,3.574712753,208,34,0,48,79
CARD16,60,6,0,59,56,0,4,0,60,0,0,28,0,0.9736111636,0.008119507693,0.9851852129,0.002789989114,39.7268486,1.026364326,6,39,10,1.538461566,6.5,26,2,0,4,6
CARD19,3876,529,0,3508,1557,0,2144,0,3701,175,0,140,0,0.9787796951,0.004461766221,0.9844341608,0.003141790396,39.69768524,1.480027199,548,2677,7.072992802,1.447889447,4.885036469,1911,121,0,365,458
CARD6,148,30,0,137,95,0,45,0,140,8,0,6,0,0.9774774925,0.003079610644,0.9938438885,0.0003431306686,39.89248657,0.1303664297,33,105,4.484848499,1.409523845,3.181818247,79,11,0,22,29
CARD9,31,5,0,28,12,0,13,0,25,6,0,6,0,0.9784946749,0.004151720554,0.9433692165,0.03733625636,38.75017929,19.49968719,17,25,1.823529363,1.24000001,1.470588207,21,10,0,7,17
CARF,8327,1095,0,7505,3773,0,4379,0,8152,175,0,358,0,0.9814459218,0.004012869671,0.9857798918,0.003597981296,39.71906281,1.691174746,881,5419,9.451759338,1.536630392,6.150964737,3702,184,0,571,707
CARHSP1,528,76,0,430,159,0,368,0,527,1,0,12,0,0.9816919385,0.004249881487,0.9838173691,0.004496219568,39.68292999,2.104747534,62,384,8.516129494,1.375,6.193548203,280,18,0,39,57
CARM1,4682,707,0,4034,2676,0,1902,0,4578,104,0,173,0,0.9785348354,0.004876917694,0.9807418867,0.005131693091,39.6171875,2.51068306,776,3239,6.033504963,1.445507884,4.173969269,2342,253,0,465,648
CARMIL1,43942,6292,0,39777,6257,0,36175,0,42432,1510,0,1016,0,0.9812025157,0.004298398737,0.9820435349,0.004306063987,39.64122391,2.043467045,4299,29782,10.22144699,1.475454926,6.927657604,20724,796,0,2011,2348
CARMIL2,2232,171,0,1907,1440,0,774,0,2214,18,0,836,0,0.9770385578,0.004785919562,0.9832885694,0.003709899727,39.68207932,1.661949992,324,1633,6.888888836,1.366809607,5.040123463,1215,72,0,231,289
CARMIL3,615,123,0,482,356,0,255,0,611,4,0,90,0,0.97967482,0.004698408302,0.9848058232,0.004812591709,39.70805359,2.235341072,112,451,5.491071224,1.363636374,4.026785851,343,39,0,69,104
CARNMT1,14680,1838,0,13540,2774,0,11744,0,14518,162,0,278,0,0.981397615,0.004307681695,0.9798524397,0.006708560977,39.59497833,3.246015549,1485,9938,9.885521889,1.477158427,6.692255974,6877,252,0,885,1028
CARNS1,363,35,0,306,128,0,232,0,360,3,0,0,0,0.9880624619,0.002082390245,0.9874809087,0.002709286986,39.75509262,1.196576834,47,256,7.723404408,1.41796875,5.446808338,187,9,0,37,45
CARS,8637,1090,0,7678,1150,0,7404,0,8554,83,0,425,0,0.9767570017,0.005271125585,0.9835308396,0.004270588979,39.68076324,1.949410319,1056,6157,8.178977013,1.402793527,5.830492496,4474,239,0,629,775
CARS2,8968,1141,0,7740,1267,0,7594,0,8861,107,0,441,0,0.9800587482,0.004975396208,0.9861024747,0.003071467858,39.73552704,1.39370501,972,6269,9.226337433,1.430531144,6.449588299,4474,196,0,628,746
CARTPT,1248,75,0,1082,1058,0,188,0,1246,2,0,65,0,0.9812366665,0.004152909387,0.9860488178,0.003423076356,39.73094559,1.504062057,85,847,14.68235302,1.47343564,9.964705467,583,13,0,40,49
CASC1,15568,2768,0,14149,2980,0,12422,0,15402,166,0,1022,0,0.9782459983,0.005628490821,0.984276182,0.003597114934,39.69267654,1.642228723,1852,10541,8.406047821,1.476899743,5.691684723,7358,399,0,986,1189
CASC3,10822,1479,0,9679,6124,0,4654,0,10778,44,0,1080,0,0.9803024912,0.004334012512,0.982302549,0.004128350876,39.65916443,1.855288506,1157,7130,9.353500366,1.517812014,6.162489414,4975,217,0,796,936
CASC4,34502,5850,0,31596,6124,0,27658,0,33782,720,0,1050,0,0.9807040392,0.004357990343,0.9845993157,0.003707881784,39.69812775,1.7342062,4154,22340,8.305729866,1.544404626,5.377948761,15525,899,0,2008,2442
CASD1,33014,4279,0,29675,9054,0,23828,0,32882,132,0,3428,0,0.9804451872,0.004617098253,0.9843396698,0.003995652776,39.68980789,1.874767303,3187,22246,10.35895824,1.484042048,6.980232239,15251,583,0,1677,1946
CASK,32147,5076,0,29475,3292,0,27487,0,30779,1368,0,1123,0,0.980949512,0.00457136659,0.9826892767,0.004380210768,39.65446854,2.08525157,3999,22072,8.038759232,1.456460714,5.519379616,15579,986,0,1833,2311
CASKIN1,7510,674,0,6437,3605,0,3863,0,7468,42,0,296,0,0.9759986921,0.005275169853,0.9780663272,0.005057305563,39.58107376,2.31608963,974,5563,7.710472107,1.349990964,5.711498737,4136,197,0,631,757
CASKIN2,877,126,0,840,699,0,172,0,871,6,0,31,0,0.9779551668,0.005237086676,0.9873432454,0.002665457781,39.75485611,1.254403472,121,647,7.247933865,1.35548687,5.34710741,484,31,0,83,108
CASP10,242,43,0,213,102,0,95,0,197,45,0,31,0,0.9845041598,0.001516602235,0.984710781,0.002148856642,39.69457626,0.9962658882,55,158,4.400000095,1.531645536,2.872727156,108,25,0,30,51
CASP12,52,12,0,50,26,0,25,0,51,1,0,5,0,0.9855769598,0.001830374473,0.9769230545,0.01601959206,39.47051239,8.711354256,10,36,5.199999809,1.444444418,3.599999905,24,3,0,5,8
CASP14,39,16,0,32,3,0,5,0,8,31,0,0,0,0.9594016939,0.01311102975,0.9535612548,0.01684777252,39.0603981,8.168839455,12,25,3.25,1.559999943,2.083333254,17,6,0,6,12
CASP2,1878,230,0,1633,227,0,1645,0,1872,6,0,90,0,0.9802094648,0.004329013638,0.9858951897,0.003270892892,39.72349167,1.509497523,188,1254,9.989361763,1.497607708,6.670212746,875,40,0,128,162
CASP3,7719,998,0,7285,3772,0,3873,0,7645,74,0,129,0,0.9793043353,0.004872191232,0.9861323744,0.003129542805,39.73422623,1.416971207,701,5250,11.01141262,1.470285773,7.489301205,3634,114,0,469,541
CASP4,146,23,0,103,5,0,138,0,143,3,0,0,0,0.9783105262,0.004411378875,0.9947488867,0.0003596323368,39.90068436,0.1217134967,18,102,8.111110687,1.431372523,5.666666508,72,6,0,12,18
CASP5,50,6,0,31,18,0,13,0,31,19,0,1,0,0.9883333778,0.0008531680796,0.9957778168,5.991316357e-05,39.92577362,0.01913576387,19,38,2.631578922,1.315789461,2,27,11,0,8,19
CASP6,2595,342,0,2301,952,0,1615,0,2567,28,0,33,0,0.9807321984,0.004677650519,0.9807921544,0.00449103862,39.62102509,2.077120781,341,1824,7.60997057,1.422697425,5.348973751,1308,85,0,233,300
CASP7,297,56,0,281,47,0,200,0,247,50,0,1,0,0.9688552446,0.008856866509,0.9801721314,0.003972392064,39.61683273,1.76303041,57,203,5.210526466,1.46305418,3.561403513,138,16,0,34,50
CASP8,997,244,0,827,228,0,716,0,944,53,0,8,0,0.9723336949,0.007021900266,0.9796055153,0.005696491338,39.59139252,2.712368488,172,639,5.79651165,1.560250401,3.715116262,445,57,0,108,158
CASP8AP2,7108,999,0,6558,4776,0,2211,0,6987,121,0,477,0,0.9772791462,0.005797884427,0.9832427036,0.004322125111,39.67110443,2.003378868,959,4947,7.411887169,1.436830401,5.158498287,3534,218,0,624,780
CASP9,4865,612,0,4391,1955,0,2852,0,4807,58,0,218,0,0.9812778575,0.00424810173,0.9867260794,0.003135220148,39.74362564,1.427085161,529,3282,9.196597099,1.482327819,6.204158783,2310,87,0,381,449
CASQ1,336,26,0,324,74,0,259,0,333,3,0,7,0,0.9831349509,0.00216081948,0.9748346824,0.007879651152,39.49420929,4.194018364,44,236,7.636363506,1.423728824,5.363636494,167,7,0,34,41
CASQ2,116,97,0,107,0,0,61,0,61,55,0,0,0,0.98778737,0.005586267449,0.826628388,0.01753060706,35.836689,10.52599812,91,93,1.274725318,1.247311831,1.021978021,83,81,0,10,91
CASR,479,364,0,441,5,0,105,0,110,369,0,0,0,0.9756437254,0.006989209913,0.9826722645,0.005311236717,39.65578461,2.55742836,214,309,2.238317728,1.550161839,1.443925261,215,116,0,97,194
CASS4,480,79,0,425,25,0,406,0,431,49,0,1,0,0.9828125159,0.00282099843,0.9828704055,0.003932361025,39.64645386,1.954163909,86,327,5.581395149,1.467889905,3.802325487,229,36,0,47,81
CAST,38611,5138,0,36032,8095,0,30336,0,38431,180,0,2724,0,0.9803488863,0.004596158396,0.9854949537,0.003591436427,39.71698761,1.665579438,3923,25624,9.842212677,1.5068295,6.531735897,17835,664,0,1921,2217
CASTOR1,473,26,0,416,397,0,76,0,473,0,0,73,0,0.9866103158,0.001850699075,0.9775429185,0.003042945405,39.57279205,1.303700924,33,336,14.33333302,1.40773809,10.18181801,243,3,0,30,33
CASTOR2,2834,463,0,2461,316,0,2284,0,2600,234,0,159,0,0.9779169852,0.00510841189,0.977746451,0.005790309981,39.54408646,2.911572218,476,2045,5.953781605,1.385819077,4.296218395,1497,135,0,299,413
CASZ1,188,131,0,159,21,0,118,0,139,49,0,39,0,0.9632092232,0.01011424791,0.8300827633,0.02605988644,35.86566162,15.96179962,133,159,1.413533807,1.182389975,1.195488691,140,116,0,17,133
CAT,267,89,0,234,94,0,156,0,250,17,0,14,0,0.9762796635,0.00794608891,0.9774865032,0.006839707494,39.54364777,3.250010967,47,179,5.680850983,1.491620064,3.808510542,128,15,0,27,42
CATIP,249,34,0,219,44,0,174,0,218,31,0,1,0,0.9712182355,0.004824629053,0.9776885823,0.005618270021,39.56354141,2.436990738,66,187,3.772727251,1.331550837,2.833333254,141,30,0,32,61
CATSPER1,27,2,0,24,0,0,24,0,24,3,0,0,0,0.9691358496,0.004886826035,0.9604938853,0.02541625313,39.09958267,14.6671648,6,21,4.5,1.285714269,3.5,16,2,0,4,6
CATSPER3,1359,226,0,1304,56,0,1214,0,1270,89,0,10,0,0.9812975449,0.004860847257,0.9701414759,0.007832696661,39.35659027,4.050684929,219,918,6.205479622,1.480392098,4.191781044,643,103,0,100,201
CATSPER4,49,27,0,40,13,0,20,0,33,16,0,3,0,0.9676871002,0.01094223093,0.9600907722,0.009279415011,39.18798447,4.10187006,20,32,2.450000048,1.53125,1.600000024,21,11,0,9,20
CATSPERB,598,120,0,470,21,0,482,0,503,95,0,8,0,0.9793757133,0.005529628601,0.985507276,0.003448642557,39.71915436,1.512660503,157,427,3.808917284,1.400468349,2.719745159,318,70,0,73,135
CATSPERD,351,136,0,243,0,0,188,0,188,163,0,10,0,0.9757835058,0.005046802107,0.9680595473,0.01063791569,39.34396362,5.441525459,157,216,2.235668898,1.625,1.375796199,152,97,0,60,147
CATSPERE,9080,1232,0,8394,919,0,7679,0,8598,482,0,190,0,0.9795429726,0.004947170615,0.9833553917,0.003901011078,39.67512512,1.792297602,1129,6241,8.042515755,1.45489502,5.527900696,4396,306,0,583,760
CATSPERG,704,220,0,518,214,0,394,0,608,96,0,47,0,0.9807055159,0.004635488614,0.9835227695,0.003891575383,39.67019653,2.006224871,159,447,4.427672863,1.574944019,2.811320782,329,62,0,96,150
CATSPERZ,847,127,0,764,483,0,362,0,845,2,0,103,0,0.979732411,0.004875050858,0.9868556002,0.003053823719,39.75456619,1.386217237,148,621,5.72297287,1.363929152,4.19594574,465,40,0,105,138
CAV1,609,123,0,570,338,0,256,0,594,15,0,4,0,0.9755063122,0.008867727593,0.9832147744,0.004014820792,39.67187881,1.940891385,84,398,7.25,1.530150771,4.738095284,282,22,0,50,67
CAV2,1493,175,0,1356,1068,0,408,0,1476,17,0,17,0,0.9816923678,0.003974625841,0.9868200024,0.003146513365,39.74549866,1.500061989,130,958,11.48461533,1.55845511,7.369230747,634,18,0,91,105
CAV3,1,0,0,1,1,0,0,0,1,0,0,0,0,1,nan,1,nan,40,nan,1,1,1,1,1,1,1,0,0,1
CAVIN1,914,118,0,768,575,0,296,0,871,43,0,7,0,0.9742888633,0.007461612578,0.9728544001,0.006851048209,39.45001984,3.306627989,174,675,5.252873421,1.354074121,3.879310369,493,64,0,79,136
CAVIN2,114,5,0,78,52,0,62,0,114,0,0,11,0,0.9751462267,0.003678688547,0.987232031,0.001261293655,39.76285934,0.5079457164,10,78,11.39999962,1.461538434,7.800000191,56,2,0,8,10
CAVIN3,194,3,0,192,131,0,63,0,194,0,0,1,0,0.9836770038,0.003258370794,0.9875716198,0.001768229529,39.76253891,0.8652383685,26,146,7.461538315,1.32876718,5.615384579,112,5,0,20,24
CAVIN4,1422,213,0,1174,499,0,916,0,1415,7,0,9,0,0.9770862879,0.005226601847,0.9860056589,0.003099124413,39.73405457,1.349807501,142,964,10.01408482,1.475103736,6.788732529,660,24,0,109,128
CBARP,4232,402,0,3704,3823,0,401,0,4224,8,0,299,0,0.9739485184,0.005060867872,0.973663666,0.006134346593,39.48921585,2.811502457,459,3032,9.220043182,1.395778418,6.605664253,2205,108,0,317,404
CBFA2T2,22646,3260,0,20089,1828,0,20338,0,22166,480,0,470,0,0.9810525987,0.004353508819,0.9839731635,0.003942692652,39.68662262,1.793224454,2374,14540,9.53917408,1.557496548,6.124683857,9880,552,0,1254,1560
CBFA2T3,1427,208,0,1013,752,0,573,0,1325,102,0,85,0,0.9809624118,0.004419532139,0.9751927539,0.005277195945,39.51951599,2.325510263,177,977,8.062147141,1.4605937,5.51977396,683,47,0,121,164
CBFB,1788,318,0,1681,140,0,1506,0,1646,142,0,10,0,0.9797259742,0.004559041001,0.9842841438,0.00420249952,39.69302368,1.932364941,276,1152,6.478260994,1.552083373,4.173913002,788,92,0,150,231
CBL,11515,1866,0,10439,4140,0,7189,0,11329,186,0,654,0,0.9813938539,0.004353974946,0.98402377,0.003995589446,39.68441391,1.860815525,1263,7387,9.117181778,1.558819532,5.848772526,5093,268,0,781,957
CBLB,22600,3555,0,20748,2059,0,19891,0,21950,650,0,409,0,0.9824963315,0.004171741195,0.9820973751,0.004569230136,39.62837601,2.292317629,2428,14490,9.30807209,1.559696317,5.967875004,9826,712,0,1147,1667
CBLC,72,13,0,54,3,0,38,0,41,31,0,3,0,0.9826389154,0.002530807164,0.9750000536,0.003209007671,39.46388245,1.678284764,42,53,1.714285731,1.358490586,1.261904716,39,25,0,17,41
CBLIF,675,66,0,645,9,0,652,0,661,14,0,1,0,0.9771605357,0.003423753893,0.9853992073,0.003197313054,39.70602036,1.589665771,65,453,10.38461494,1.490066171,6.969230652,312,10,0,48,57
CBLL1,13087,1436,0,12147,3496,0,9533,0,13029,58,0,760,0,0.9816039025,0.004360703286,0.9835570779,0.003848052118,39.67523193,1.786014795,987,8441,13.25937176,1.550408721,8.552178383,5672,135,0,683,773
CBLL2,5,0,0,5,5,0,0,0,5,0,0,0,0,0.9833333969,0.001388878329,1,0,40,0,2,3,2.5,1.666666627,1.5,1,1,0,1,2
CBLN1,90,36,0,52,90,0,0,0,90,0,0,12,0,0.9833333545,0.003776527708,0.9829629852,0.00132390263,39.69221497,0.4593679607,8,53,11.25,1.698113203,6.625,37,2,0,6,8
CBLN2,7966,953,0,7467,4555,0,3398,0,7953,13,0,94,0,0.9797368199,0.004896421451,0.9836806778,0.003825250315,39.68295288,1.745108604,744,5321,10.70698929,1.497087002,7.151881695,3729,116,0,475,543
CBLN3,14,0,0,14,14,0,0,0,14,0,0,0,0,0.9880952835,0.0009157439345,0.9825397815,0.001495037577,39.66110229,0.6347048879,3,12,4.666666508,1.166666627,4,10,1,0,2,3
CBLN4,11348,998,0,10744,6188,0,5148,0,11336,12,0,144,0,0.9825226364,0.003826784436,0.9861649927,0.003485774389,39.73040009,1.579106092,804,7521,14.11442757,1.508841872,9.354477882,5073,91,0,572,629
CBR3,1591,297,0,1439,366,0,1199,0,1565,26,0,115,0,0.9763251826,0.005545018241,0.9805643248,0.005053259898,39.61741257,2.364261627,216,1104,7.365740776,1.441123247,5.111111164,784,54,0,143,182
CBR4,7309,932,0,6471,2675,0,4357,0,7032,277,0,253,0,0.9815068419,0.004057621583,0.9859534199,0.002929562237,39.7300148,1.289556026,822,5025,8.891727448,1.454527378,6.113138676,3504,171,0,496,607
CBS,717,105,0,567,352,0,346,0,698,19,0,127,0,0.977452374,0.004805912264,0.9760112004,0.008156402037,39.52132034,3.769035339,96,479,7.46875,1.496868491,4.989583492,338,27,0,64,89
CBWD1,11815,1860,0,11107,803,0,10925,0,11728,87,0,297,0,0.9806954643,0.0045537767,0.9845817779,0.003692005295,39.69930267,1.680185914,1187,7514,9.95366478,1.572398186,6.330244541,5077,197,0,772,906
